id,zhh,zhh_pron,is_r18,chs,en,register,intent
L13,茂利,mau6 lei2,0,笨蛋/蠢货,dumb/imbecile/incredibly stupid,Slang,curse
L14,磨碌,mo6 luk1,0,笨蛋/蠢货/没用/没有的人,moron/stupid/retarded/doofus/dimwit/nitwit,Slang,curse
L15,豬頭炳,zyu1 tau4 bing2,0,笨蛋/蠢货,a fool/an idiot/fool/idiot,Slang,curse
L16,人頭豬腦,jan4 tau4 zyu1 nou5,0,人头猪脑/笨蛋/蠢货,dumb/stupid/literally/pig brained/a stupid person/stupid person/silly,Slang,curse
L17,笨柒,ban6 cat6,1,笨蛋/蠢货/笨7/笨叱,dumb person/dumb/imbecile/incredibly stupid/brain dead/silly,Colloquial,curse
L18,柒頭,cat6 tau4,1,笨蛋/蠢货/7头/叱头,dumb person/dumb/imbecile/incredibly stupid/brain dead,Colloquial,curse
L19,笨撚柒,ban6 nan2 cat6,1,笨蛋/蠢货/笨len叱,dumb person/dumb/imbecile/incredibly stupid/brain dead/silly,Colloquial,curse
L20,抌嘢,dam2 je5,0,扔东西/丢东西/丢/扔,Throwing things/throw/toss/chuck,Colloquial,curse
L21,掟嘢,ding3 je5,0,扔东西/丢东西/丢/扔,Throwing things/throw/toss/chuck,Colloquial,Actions/Behaviors
L22,掉嘢,diu1 je5,0,扔东西/丢东西/丢/扔,Throwing things/throw/toss/chuck,Colloquial,Actions/Behaviors
L23,咪揼過嚟,mai1 dam2 gwo3 lai4,0,不要扔过来/扔/丢,Don't throw it at me,Colloquial,reject/Actions/Behaviors
L24,揼住唔做,dam2 zyu6 m4 zou6,0,耗着不做/拖延时间/耽误时间/磨洋工/拖拖拉拉/浪费时间,dragging it out without doing anything/time consuming/play for time,Colloquial,Time description/Behavioral state
L25,揼咗啲嘢佢,dam2 zo2 di1 je5 keoi5,0,把它扔了/把东西扔掉/扔/丢,Throw it away,Colloquial,Actions/Behaviors
L26,咪掟我,mai1 diu1 ngo5,0,不要扔我/别扔我/扔/丢,Don't throw me hard,Colloquial,reject/Actions/Behaviors
L27,唔好掉鳩我,m4 hou2 diu1 gau1 ngo5,1,不要向我方向扔/不要扔我/别扔我/扔/丢,Don't f*cking throw me away.,Colloquial,reject/Actions/Behaviors
L28,揼埋一二邊,dam2 maai4 jat1 ji6 bin1,0,扔在一边/随便扔/扔/丢,Throw it aside/Toss it to the side/Put it aside/Chuck it away/Throw it away,Colloquial,Actions/Behaviors
L29,飛啲嘢埋嚟,fei1 di1 je5 maai4 lai4,0,扔东西过来/丢东西过来/扔/丢,toss it over here/throw it over here,Colloquial,Actions/Behaviors
L30,飛啲嘢過嚟,fei1 di1 je5 gwo3 lai4,0,扔东西过来/丢东西过来/扔/丢,toss it over here/throw it over here,Colloquial,Actions/Behaviors
L31,車埋嚟,ce1 maai4 lai4,0,扔东西过来/丢东西过来/扔/丢,toss it over here/throw it over here,Colloquial,Actions/Behaviors
L32,𢫨,ung2,0,推,push,Colloquial,Actions/Behaviors
L33,㧬,ung2,0,推,push,Colloquial,Actions/Behaviors
L34,擁,jung2,0,推,push,Colloquial,Actions/Behaviors
L35,走鬼,zau2 gwai2,0,摆摊/路边摊/流动贩卖/走鬼摊,stand/set up,Slang,Behavior/Noun
L36,摆檔,baai2 dong3,0,摆摊/路边摊/流动贩卖/走鬼摊,stand/set up,Colloquial,Behavior/Noun
L37,摆檔攤,baai2 dong3 taan1,0,摆摊/路边摊/流动贩卖/走鬼摊,stand/set up,Colloquial,Behavior/Noun
L38,走鬼檔,zau2 gwai2 dong3,0,摆摊/路边摊/流动贩卖/走鬼摊,stand/set up,Colloquial,Noun
L39,推車仔,teoi1 ce1 zai2,0,摆摊/路边摊/流动贩卖/走鬼摊,stand/set up,Colloquial,Noun
L40,做走鬼,zou6 zau2 gwai2,0,去摆摊/做路边摊/做流动贩卖/做走鬼摊,Make a run for it/stand/set up,Slang,Noun
L41,擺街,baai2 gaai1,0,摆摊/路边摊/流动贩卖/走鬼摊,stand/set up,Colloquial,Behavior/Noun
L42,街檔,gaai1 dong3,0,摆摊/路边摊/流动贩卖/走鬼摊,stand/set up,Colloquial,Noun
L43,死雞撑飯蓋,sei2 gai1 caang1 faan6 goi3,0,不服输/明知错不认/不认错/死撑,The dead chicken forcing thelid of the rice pot open/So proud/try to bear/hardly stand for something/So full of himself/Has to save face,Slang,
L44,死頂,sei2 ding2,0,不服输/明知错不认/不认错/死撑/苦撑,So proud/try to bear/hardly stand for something/So full of himself/Has to save face,Colloquial,
L45,唔认输,m4 jing6 syu1,0,不服输/明知错不认/不认错/死撑,So proud/try to bear/hardly stand for something/So full of himself/Has to save face,Formal,
L46,死撑,sei2 caang3,0,不服输/明知错不认/不认错/死撑/苦撑,So proud/try to bear/hardly stand for something/So full of himself/Has to save face,Colloquial,
L47,死要面,sei2 jiu3 min2,0,不服输/明知错不认/不认错/死撑/苦撑,So proud/try to bear/hardly stand for something/So full of himself/Has to save face,Colloquial,
L48,𠮩𠹌,liu1 lang1,0,冷门/刁钻/怪异/不常见/另类,uncommon/rare and strange/niche/raretricky/complicated/difficult/similar to,Slang,
L49,𠵇𠺫,keu4 leu1,0,冷门/刁钻/怪异/不常见/另类,uncommon/rare and strange/niche/raretricky/complicated/difficult/similar to,Slang,
L50,撩棱,liu1 lang1,0,冷门/刁钻/怪异/不常见/另类,uncommon/rare and strange/niche/raretricky/complicated/difficult/similar to,Slang,
L51,捞绞,laau2 gaau4,0,冷门/刁钻/怪异/不常见/另类,uncommon/rare and strange/niche/raretricky/complicated/difficult/similar to,Slang,
L52,刁​鑽,diu1 zyun3,0,冷门/刁钻/怪异/不常见/另类,uncommon/rare and strange/niche/raretricky/complicated/difficult/similar to,Formal,
L53,泶嫪,laau2 gaau6,0,冷门/刁钻/怪异/不常见/另类,uncommon/rare and strange/niche/raretricky/complicated/difficult/similar to,Slang,
L54,噉,gam2,0,这样/那样/那,like this/such/in this way/like/in the manner of/to to certain level,Colloquial,
L55,噉樣,gam2 joeng2,0,这样/那样/那,like this/such/in this way/like/in the manner of/to to certain level,Colloquial,
L56,噉點,gam2 dim2,0,这样/那样/那,like this/such/in this way/like/in the manner of/to to certain level,Colloquial,ask
L57,咁,gam3,0,这么/那么,like this/so/to such an extent/this/in this manner/like/seems/well/then/that,Colloquial,
L58,咁犀利,gam3 sai1 lei6,0,这么厉害/那么厉害/这么牛逼/那么牛逼,,Colloquial,
L59,咁劲,gam3 ging6,0,这么厉害/那么厉害/这么牛逼/那么牛逼/这么牛/那么牛,,Colloquial,
L60,點樣,dim2 joeng2,0,怎么样/如何/怎样,how/what way/what's with it/what's up/how's it like/what is it like,Colloquial,ask
L61,點,dim2,0,怎么样/如何/怎样,how/what way/what's with it/what's up/how's it like/what is it like,Colloquial,ask
L62,點樣樣,dim2 joeng1 joeng2,0,怎么样/如何/怎样,how/what way/what's with it/what's up/how's it like/what is it like,Colloquial,ask
L63,點鬼樣,dim2 gwai2 joeng2,0,怎么样/如何/怎样,how/what way/what's with it/what's up/how's it like/what is it like,Colloquial,ask
L64,緊要,gan2 jiu3,0,要紧/重要/夸张,crucial/important/vital/exaggerate/critical,Formal,
L65,要緊,jiu3 gan2,0,要紧/重要/夸张,crucial/important/vital/exaggerate/critical,Formal,
L66,关键,gwaan1 gin6,0,要紧/重要/夸张/关键,crucial/important/vital/exaggerate/critical,Formal,
L67,交關,gaau1 gwaan1,0,要紧/重要/夸张/交关,crucial/important/vital/exaggerate/critical,Colloquial,
L68,咁上下,gam3 soeng6 haa2,0,达到一定水平/差不多/大致上/普普通通/大差不差/接近了/一般般/差不多这样,that's about it/pretty much/same difference/not faroff/a little bit/approximate/insignificant/unassuming/ordinary and mediocre/approximately/so-so,Colloquial,
L69,差唔多,caa1 m4 do1,0,达到一定水平/差不多/大致上/普普通通/大差不差/接近了/一般般/差不多这样,that's about it/pretty much/same difference/not faroff/a little bit/approximate/insignificant/unassuming/ordinary and mediocre/approximately/so-so,Colloquial,
L70,左右,zo2 jau2,0,达到一定水平/差不多/大致上/普普通通/大差不差/接近了/一般般/差不多这样,that's about it/pretty much/same difference/not faroff/a little bit/approximate/insignificant/unassuming/ordinary and mediocre/approximately/so-so,Colloquial,
L71,係咁上下,hai6 gam3 soeng6 haa2,0,达到一定水平/差不多/大致上/普普通通/大差不差/接近了/一般般/差不多这样,that's about it/pretty much/same difference/not faroff/a little bit/approximate/insignificant/unassuming/ordinary and mediocre/approximately/so-so,Colloquial,
L72,咁大隻蛤乸隨街跳,gam3 daai6 zek3 haa1 naa2 ceoi4 gaai1 tiu3,0,沒有免費的午餐/天上不会掉馅饼,too good to be true/It's not that simple/something too good to be true/There is no free lunch,Slang,
L73,咁抵？,gam3 dai2,0,沒有免費的午餐/天上不会掉馅饼,too good to be true/It's not that simple/something too good to be true/There is no free lunch,Colloquial,ask
L74,坚唔坚吖？,gin1 m4 gin1 aa1,0,沒有免費的午餐/天上不会掉馅饼/真的假的/不会吧,too good to be true/It's not that simple/something too good to be true/There is no free lunch,Colloquial,ask
L75,咁好死？,gam3 hou2 sei2,0,沒有免費的午餐/天上不会掉馅饼,too good to be true/It's not that simple/something too good to be true/There is no free lunch,Colloquial,ask
L76,咁着數？,gam3 zoek6 sou3,0,沒有免費的午餐/天上不会掉馅饼,too good to be true/It's not that simple/something too good to be true/There is no free lunch,Colloquial,ask
L77,咁啱得咁蹺,gam3 ngaam1 dak1 gam3 kiu2,0,真巧合/这么巧呀/不谋而合/湊巧/说多巧有多巧/巧合/这么巧,coincide/coincidentally/fortuitously/by chance,Slang,
L78,咁啱,gam3 ngaam1 ,0,真巧合/这么巧呀/不谋而合/湊巧/说多巧有多巧/巧合/这么巧,coincide/coincidentally/fortuitously/by chance,Colloquial,
L79,咁橋,gam3 kiu2,0,真巧合/这么巧呀/不谋而合/湊巧/说多巧有多巧/巧合/这么巧,coincide/coincidentally/fortuitously/by chance,Colloquial,
L80,咁錯蕩,gam3 co3 dong6,0,真巧合/这么巧呀/不谋而合/湊巧/说多巧有多巧/巧合/这么巧,coincide/coincidentally/fortuitously/by chance,Colloquial,
L81,啱啱遇著剛剛,ngaam1 ngaam1 jyu6 zoek6 gong1 gong1,0,真巧合/这么巧呀/不谋而合/湊巧/说多巧有多巧/巧合/这么巧,coincide/coincidentally/fortuitously/by chance,Slang,
L82,咁多人死唔見你死,gam3 do1 jan4 sei2 m4 gin3 nei5 sei2,0,应该死的不去死/该死不死/这么多人死为什么你不去死,"damn it, yet still alive/So many people are dying, why don't you die/why don't you die when there's so much death",Colloquial,
L83,走開啦,zau2 hoi1 laa1,0,走开吧/滚吧/起开/滚/一边去/滚开,get out of here/fuck off/get lost/get out of here/beat it/get out,Colloquial,
L84,行開啦,haang4 hoi1 laa1,0,走开吧/滚吧/起开/滚/一边去/滚开,get out of here/fuck off/get lost/get out of here/beat it/get out,Colloquial,
L85,死開啦,sei2 hoi1 laa1,0,走开吧/滚吧/起开/滚/一边去/滚开,get out of here/fuck off/get lost/get out of here/beat it/get out,Colloquial,
L86,躝吖,laan4 aa1,0,走开吧/滚吧/起开/滚/一边去/滚开,get out of here/fuck off/get lost/get out of here/beat it/get out,Colloquial,
L87,走吖,zau2 aa1,0,走开吧/滚吧/起开/滚/一边去/滚开,get out of here/fuck off/get lost/get out of here/beat it/get out,Colloquial,
L88,躝開,laan1 hoi1,0,走开吧/滚吧/起开/滚/一边去/滚开/lan开,get out of here/fuck off/get lost/get out of here/beat it/get out,Colloquial,
L89,咁近城隍廟都唔求支好籤,gam3 kan5 sing4 wong4 miu2 dou1 m4 kau4 zi1 hou2 cim1,0,不会把握机会,to fail to take advantage of an opportunity,Slang,
L90,唔識把握機會,m4 sik1 baap3 woek6 gei1 wui6,0,不会把握机会/唔识把握机会,to fail to take advantage of an opportunity,Colloquial,
L91,盟塞,mang4 sak1,0,思想不开通/吃古不化/盟塞,narrow minded/conservatives/fuddy duddy/dogged/stubborn/obstinate,Colloquial,
L92,㒼塞,mang4 sak1,0,思想不开通/吃古不化/盟塞,narrow minded/conservatives/fuddy duddy/dogged/stubborn/obstinate,Colloquial,
L93,食古不化,sik6 gu2 bat1 faa3,0,思想不开通/吃古不化,narrow minded/conservatives/fuddy duddy/dogged/stubborn/obstinate,Slang,
L94,咁大個都唔化,gam3 daai6 go3 dou1 m4 faa3,0,思想不开通/吃古不化,narrow minded/conservatives/fuddy duddy/dogged/stubborn/obstinate,Slang,
L95,點唔明,dim2 m4 ming4,0,思想不开通/吃古不化,narrow minded/conservatives/fuddy duddy/dogged/stubborn/obstinate,Colloquial,
L96,講唔通,gong2 m4 tung1,0,思想不开通/吃古不化,narrow minded/conservatives/fuddy duddy/dogged/stubborn/obstinate,Colloquial,
L97,硬頸,ngaang6 geng2,0,思想不开通/吃古不化/硬颈,narrow minded/conservatives/fuddy duddy/dogged/stubborn/obstinate,Colloquial,
L98,萌塞,mang4 sak1,0,思想不开通/吃古不化/盟塞,narrow minded/conservatives/fuddy duddy/dogged/stubborn/obstinate,Colloquial,
L99,盲塞,mang4 sak1,0,思想不开通/吃古不化,narrow minded/conservatives/fuddy duddy/dogged/stubborn/obstinate,Colloquial,
L100,墨守成規,mak6 sau2 sing4 kwai1,0,思想不开通/吃古不化,narrow minded/conservatives/fuddy duddy/dogged/stubborn/obstinate,Formal,
L101,冥頑不靈,ming5 waan4 bat1 ling4,0,思想不开通/吃古不化,narrow minded/conservatives/fuddy duddy/dogged/stubborn/obstinate/pigheaded/stupid,Formal,
L102,失覺曬,sat1 gok3 saai3,0,不好意思/失礼了,so sorry/Excuse me,Colloquial,
L103,唔好意思,m4 hou2 ji3 si3,0,不好意思/失礼了,so sorry/Excuse me,Colloquial,
L104,失禮曬,sat1 lai5 saai3,0,不好意思/失礼了,so sorry/Excuse me,Colloquial,
L105,唔该,m4 goi1,0,不好意思/麻烦你/唔该,so sorry/Excuse me/please,Colloquial,
L106,猛龍過江,maang5 lung4 gwo3 gong1,0,有能力到外/有本身到外/异地发展/在外地拼搏/在外地谋生/有本事的到外发展/比喻有才专华有才能的人才敢想敢拼,ability to go to other places,Slang,
L107,過江龍,gwo3 gong1 lung4,0,有能力到外/有本身到外/异地发展/在外地拼搏/在外地谋生/有本事的到外发展/比喻有才专华有才能的人才敢想敢拼/过江龙/搭电/跨接电缆,ability to go to other places/jumper cables/a booster cable/a jumper cable,Slang,
L108,捞过界,gei2 do1 cin2,0,有能力到外/有本身到外/异地发展/在外地拼搏/在外地谋生/有本事的到外发展/比喻有才专华有才能的人才敢想敢拼,ability to go to other places,Colloquial,
L109,點賣,dim2 maai6,0,怎么卖/多少钱/怎么算,how much,Colloquial,ask
L110,幾錢,gei2 cin2,0,怎么卖/多少钱/怎么算,how much,Colloquial,ask
L111,幾多錢,gei2 do1 cin2,0,怎么卖/多少钱/怎么算,how much,Colloquial,ask
L112,點計數,dim2 gai3 sou3,0,怎么卖/多少钱/怎么算,how much,Colloquial,ask
L113,點計,dim2 gai3,0,怎么卖/多少钱/怎么算,how much,Colloquial,ask
L114,幾蚊啊,gei2 man1 aa3,0,怎么卖/多少钱/怎么算,how much,Colloquial,ask
L115,點不知,dim2 bat1 zi1,0,谁知道/哪知道/谁想到/没想到/怎麼知道/如何得知/不料/谁知/谁料到/没想到/谁想到/竟然,unexpectedly/but/Who knows,Colloquial,
L116,出乎意料,ceot1 fu4 ji3 liu6,0,谁知道/哪知道/谁想到/没想到/怎麼知道/如何得知/不料/谁知/谁料到/没想到/谁想到/竟然,unexpectedly/but/Who knows,Formal,
L117,誰不知,seoi4 bat1 zi1,0,谁知道/哪知道/谁想到/没想到/怎麼知道/如何得知/不料/谁知/谁料到/没想到/谁想到/竟然,unexpectedly/but/Who knows,Colloquial,
L118,估唔到,gu2 m4 dou2,0,谁知道/哪知道/谁想到/没想到/怎麼知道/如何得知/不料/谁知/谁料到/没想到/谁想到/竟然,unexpectedly/but/Who knows,Colloquial,
L119,點估到,dim2 gu2 dou2,0,谁知道/哪知道/谁想到/没想到/怎麼知道/如何得知/不料/谁知/谁料到/没想到/谁想到/竟然,unexpectedly/but/Who knows,Colloquial,
L120,點知,dim2 zi1,0,谁知道/哪知道/谁想到/没想到/怎麼知道/如何得知/不料/谁知/谁料到/没想到/谁想到/竟然,unexpectedly/but/Who knows,Colloquial,ask
L121,冇諗到,mou5 nam2 dou2,0,谁知道/哪知道/谁想到/没想到/怎麼知道/如何得知/不料/谁知/谁料到/没想到/谁想到/竟然,unexpectedly/but/Who knows,Colloquial,
L122,諗唔到,nam2 m4 dou2,0,谁知道/哪知道/谁想到/没想到/怎麼知道/如何得知/不料/谁知/谁料到/没想到/谁想到/竟然,unexpectedly/but/Who knows,Colloquial,
L123,點收科,dim2 sau1 fo1,0,怎么收场/怎么样才好/怎么救场/如何力挽狂澜,How to save the day/How to end it,Colloquial,ask
L124,點算好,dim2 syun3 hou2,0,怎么收场/怎么样才好/怎么救场/如何力挽狂澜,How to save the day/How to end it,Colloquial,ask
L125,點好,dim2 hou2,0,怎么收场/怎么样才好/怎么救场/如何力挽狂澜,How to save the day/How to end it,Colloquial,ask
L126,點搞,dim2 gaau2,0,怎么收场/怎么样才好/怎么救场/如何力挽狂澜,How to save the day/How to end it,Colloquial,ask
L127,呃,ak1,0,骗/欺骗/隐瞒/诈骗/忽悠/撒谎,cheat/to cheat/to trick/trick/deceive/lie/cheat/to swindle/chouse,Colloquial,
L128,老點,lou5 dim2,0,骗/欺骗/隐瞒/诈骗/忽悠,cheat/to cheat/to trick/trick/deceive/lie/cheat/to swindle,Colloquial,
L129,坤,kwan1,0,骗/欺骗/隐瞒/诈骗/忽悠/占便宜,cheat/to cheat/to trick/trick/deceive/lie/cheat/to swindle/chouse,Colloquial,
L130,水,seoi2,0,骗/欺骗/隐瞒/诈骗/忽悠,cheat/to cheat/to trick/trick/deceive/lie/cheat/to swindle/chouse,Colloquial,
L131,滚,gwan2,0,骗/欺骗/隐瞒/诈骗,cheat/to cheat/to trick/trick/deceive/lie/cheat/to swindle/chouse,Colloquial,
L132,講大話,gong2 daai6 waa6,0,骗/欺骗/隐瞒/诈骗/撒谎,cheat/to cheat/to trick/trick/deceive/lie/cheat/to swindle,Colloquial,
L133,點止,dim2 zi2,0,不止/何止/哪儿止/哪止,not only/incessantly/without end,Colloquial,
L134,唔指,m4 zi2,0,不止/何止/哪儿止/哪止,not only/incessantly/without end,Colloquial,
L135,唔淨指,m4 zing6 zi2,0,不止/何止/哪儿止/哪止,not only/incessantly/without end,Colloquial,
L136,边止,bin1 zi2,0,不止/何止/哪儿止/哪止,not only/incessantly/without end,Colloquial,
L137,何止,ho4 zi2,0,不止/何止/哪儿止/哪止,not only/incessantly/without end,Colloquial,
L138,不止,bat1 zi2,0,不止/何止/哪儿止/哪止,not only/incessantly/without end,Colloquial,
L139,點講都好,dim2 gong2 dou1 hou2,0,无论怎么说/不管怎么说/不管怎么样/无论如何/总之,No matter what/whatever/in any case/For better or for worse,Colloquial,
L140,無論如何,mou4 leon6 jyu4 ho4,0,无论怎么说/不管怎么说/不管怎么样/无论如何/总之,No matter what/whatever/in any case/For better or for worse,Formal,
L141,點都好,dim2 dou1 hou2,0,无论怎么说/不管怎么说/不管怎么样/无论如何/总之,No matter what/whatever/in any case/For better or for worse,Colloquial,
L142,點餸 ,dim2 sung3,0,点菜/点餐,to order/order,Colloquial,
L143,點菜,dim2 coi3,0,点菜/点餐,to order/order,Colloquial,
L144,點餐,dim2 caan1,0,点菜/点餐,to order/order,Colloquial,
L145,點嘢,dim2 je5,0,点菜/点餐,to order/order,Colloquial,
L146,落單,lok6 daan1,0,点菜/点餐,to order/order,Colloquial,
L147,嗌嘢,aai3 je5,0,点菜/点餐,to order/order,Colloquial,
L148,寫嘢,se2 je5,0,点菜/点餐,to order/order,Colloquial,
L149,點係啊,dim2 hai6 aa3,0,太客气了/怎么好意思呢/太客气,too kind,Colloquial,
L150,點好意思啊,dim2 hou2 ji3 si1 aa3,0,太客气了/怎么好意思呢/太客气,too kind,Colloquial,
L151,太客氣啦,taai3 haak3 hei3 laa1,0,太客气了/怎么好意思呢/太客气,too kind,Formal,
L152,點心車,dim2 sam1 ce1,0,点心车/小食车,dim sum cart,Colloquial,
L153,推車點心,teoi1 ce1 dim2 sam1,0,点心车/小食车,dim sum cart,Colloquial,
L154,糕点車,go1 dim2 ce1,0,点心车/小食车,dim sum cart,Colloquial,
L155,點錯相,dim2 co3 soeng3,0,认错人/找错人,mistaken identity/wrong target,Colloquial,
L156,認錯人,jing6 co3 jan4,0,认错人/找错人,mistaken identity/wrong target,Colloquial,
L157,點樣去？,dim2 joeng6 heoi3,0,怎么去/怎样去/怎么走,how to get there,Colloquial,
L158,點去？,dim2 heoi3,0,怎么去/怎样去/怎么走,how to get there,Colloquial,
L159,點樣行？,dim2 joeng6 haang4,0,怎么去/怎样去/怎么走,how to get there,Colloquial,
L160,點行？,dim2 haang4,0,怎么去/怎样去/怎么走,how to get there,Colloquial,
L161,點到即止,dim2 dou3 zik1 zi2,0,点到为止；适可而止,Stop here/know when to stop/leave it at that/let’s leave it there/that’s enough / that’ll do,Formal,
L162,點到為止,dim2 dou3 wai4 zi2,0,点到为止；适可而止,Stop here/know when to stop/leave it at that/let’s leave it there/that’s enough / that’ll do,Formal,
L163,停喺呢度,ting4 hai2 ni1 dou6,0,点到为止；适可而止,Stop here/know when to stop/leave it at that/let’s leave it there/that’s enough / that’ll do,Colloquial,
L164,就咁先啦,zau6 gam3 sin1 laa1,0,点到为止；适可而止,Stop here/know when to stop/leave it at that/let’s leave it there/that’s enough / that’ll do,Colloquial,
L165,到此為止,dou3 ci2 wai4 zi2,0,点到为止；适可而止,Stop here/know when to stop/leave it at that/let’s leave it there/that’s enough / that’ll do,Colloquial,
L166,適可而止,sik1 ho2 ji4 zi2,0,点到为止；适可而止,Stop here/know when to stop/leave it at that/let’s leave it there/that’s enough / that’ll do,Formal,
L167,點睇,dim2 tai2,0,有何看法/有什么看法/有什么想法/怎么样/怎么看,how do you see this/What do you think/What’s your opinion/How do you feel/What are your thoughts/Any thoughts/What do you reckon/How do you see it/How is it/How does it look/How does that soun/Is that okay with you,Colloquial,
L168,有咩諗法,hou2 me1 lam2 faat3,0,有何看法/有什么看法/有什么想法/怎么样/怎么看,how do you see this/What do you think/What’s your opinion/How do you feel/What are your thoughts/Any thoughts/What do you reckon/How do you see it/How is it/How does it look/How does that soun/Is that okay with you,Colloquial,
L169,有何睇法,jau5 ho4 tai2 faat3,0,有何看法/有什么看法/有什么想法/怎么样/怎么看,how do you see this/What do you think/What’s your opinion/How do you feel/What are your thoughts/Any thoughts/What do you reckon/How do you see it/How is it/How does it look/How does that soun/Is that okay with you,Formal,
L170,點解,dim2 gaai2,0,什么原因/原因是什么/为什么,how to explain/how come/why,Colloquial,
L171,何解,ho4 gaai2,0,什么原因/原因是什么/为什么,how to explain/how come/why,Formal,
L172,乜解究,mat1 gaai2 gau3,0,什么原因/原因是什么/为什么,how to explain/how come/why,Colloquial,
L173,因乜解究,jan1 mat1 gaai2 gau3,0,什么原因/原因是什么/为什么,how to explain/how come/why,Colloquial,
L174,點話點好,dim2 waa6 dim2 hou2,0,怎么都可以/怎样说都可以/怎么说就怎么办/你说什么就什么/说什么就什么/听你的,up to you/as you wish/whatever you say/it`s your call/you`re the boss,Colloquial,
L175,隨你意思,ceoi4 nei5 ji3 si3,0,怎么都可以/怎样说都可以/怎么说就怎么办/你说什么就什么/说什么就什么/听你的,up to you/as you wish/whatever you say/it`s your call/you`re the boss,Colloquial,
L176,你想點都得,nei5 soeng2 dim2 dou1 dak1,0,怎么都可以/怎样说都可以/怎么说就怎么办/你说什么就什么/说什么就什么/听你的,up to you/as you wish/whatever you say/it`s your call/you`re the boss,Colloquial,
L177,點都得,dim2 dou1 dak1,0,怎么都可以/怎样说都可以/怎么说就怎么办/你说什么就什么/说什么就什么/听你的,up to you/as you wish/whatever you say/it`s your call/you`re the boss,Colloquial,
L178,你話咩就咩,nei5 waa6 me1 zau6 me1,0,怎么都可以/怎样说都可以/怎么说就怎么办/你说什么就什么/说什么就什么/听你的,up to you/as you wish/whatever you say/it`s your call/you`re the boss,Colloquial,
L179,你話乜就咩,nei5 waa6 mat1 zau6 mat1,0,怎么都可以/怎样说都可以/怎么说就怎么办/你说什么就什么/说什么就什么/听你的,up to you/as you wish/whatever you say/it`s your call/you`re the boss,Colloquial,
L180,你話事,nei5 waa6 si6,0,怎么都可以/怎样说都可以/怎么说就怎么办/你说什么就什么/说什么就什么/听你的,up to you/as you wish/whatever you say/it`s your call/you`re the boss,Colloquial,
L181,點頭之交,dim2 tau4 zi1 gaau1,0,普通朋友/没什么交集/泛泛之交,common friend / people with little interaction / casual acquaintances,Formal,
L182,泛泛之交,faan6 faan6 zi1 gaau1,0,普通朋友/没什么交集/泛泛之交,common friend / people with little interaction / casual acquaintances,Formal,
L183,普通朋友,pou2 tung1 pang4 jau5,0,普通朋友/没什么交集/泛泛之交,common friend / people with little interaction / casual acquaintances,Colloquial,
L184,點紅點綠,dim2 hung4 dim2 luk6,0,存心误导人/忽悠,to mislead someone deliberately/lying/deceiving/boasting/talking nonsense/blathering/cheating/telling lies/to lie/lie,Colloquial,
L185,指點江山,zi2 dim2 gong1 saan1,0,存心误导人/忽悠/指點江山/纠正错误,to mislead someone deliberately/deceiving/talking nonsense/set the world to rights,Formal,
L186,想點,soeng2 dim2,0,想怎么样/想怎样,What do you want/How do you want,Colloquial,
L187,諗住點,lam2 zyu6 dim2,0,想怎么样/想怎样,What do you want/How do you want,Colloquial,
L188,想點樣,soeng2 dim2 joeng6,0,想怎么样/想怎样,What do you want/How do you want,Colloquial,
L189,想點閪樣,soeng2 dim2 haai1 joeng6,1,想怎么样/想怎样,What do you want/How do you want,Colloquial,
