id,zhh,zhh_pron,alias_zhh,alias_zhh_r18,chs,en,note_chs,note_en,variants_chs,variants_en,owner_tag,sig_code
L20,點賣,diǎn mài,幾錢；幾多錢；點計數；點計；幾蚊啊,,怎么卖/多少钱/怎么算,how much,"名词：多少钱，怎么算",v: how mach？,用法：一般结账的时候可以询问,usage: You can usually ask when checking out.,CanTong Lexicon 2025,20
L21,點不知,dim2 bat1 zi1,出乎意料；誰不知；估唔到；點估到；點知；冇諗到；諗唔到,,谁知道/哪知道/谁想到/没想到/怎麼知道/如何得知/不料/谁知/谁料到/没想到/谁想到/竟然,unexpectedly/but/Who knows,疑问代词、副词：意思是实际情况超出预先的估计或猜测,"pron,adv: This means that the actual situation exceeded prior estimates or guesses.",用法：原本还表示要竞选到底的他，后来却出乎意料地宣布退选。,"usage: He had originally declared his intention to run to the end, but unexpectedly announced his withdrawal from the race.",CanTong Lexicon 2025,21
L22,點收科,dim2 sau1 fo1,點算好；點好；點搞,,怎么收场/怎么样才好/怎么救场/如何力挽狂澜,How to save the day/How to end it,形容词：形容安排出错，不可以好好地结束。,adj: It describes a situation where things went wrong and the situation couldn't be resolved properly.,用法：怎么收场，怎么圆场,"usage: How to end this, how to smooth things over",CanTong Lexicon 2025,22
L23,呃,ak1,搵笨；老點；坤；水；滚；講大話；搵笨柒,,骗/欺骗/隐瞒/诈骗,cheat/to cheat/to trick/trick/deceive/lie/cheat/to swindle,动词：欺骗他人，这是最常见的用法，指通过说谎、隐瞒真相或误导他人来达到自己的目的，使对方蒙受损失。,"v: Deceiving others: This is the most common usage, referring to achieving one's own goals by lying, concealing the truth, or misleading others, causing them to suffer losses.",用法：被骗，或者在骗人的时候可以使用,"usage: This can be used to describe being deceived, or when deceiving others.",CanTong Lexicon 2025,23
L24,點止,dim2 zi2,唔指；唔淨指；边止；何止；不止,,不止/何止/哪儿止/哪止,not only/incessantly/without end,动词：用于数量或范围超出，侧重递进关系,"v: Used to indicate an excess in quantity or scope, emphasizing a progressive relationship.",用法：不止这么多，不只是这样，而且还那样,"usage: Not just this much，not just this, but also that.",CanTong Lexicon 2025,24
L25,點講都好,dim2 gong2 dou1 hou2,無論如何；點都好,,无论怎么说/不管怎么说/不管怎么样/无论如何/总之,No matter what/whatever/in any case/For better or for worse,连词：表示无论情况如何，结果都一样。它和“无论如何”意思相近,"conj: Indicates that the outcome is the same regardless of the circumstances. It is similar in meaning to ""no matter what"".","用法：转折语气，可以用在句子的开头，表示接下來要说的內容，无论如何都會是如此。表示无可奈何：有時帶有无奈或无力感，说明即使换说法，情況也不會改变。強调结论不变：表示不管从哪个角度、用什么理由来说，最终的结果都是一样的。","usage: A contrastive tone: can be used at the beginning of a sentence to indicate that what follows will remain the same regardless. Expressing helplessness: sometimes carries a sense of resignation or powerlessness, indicating that even if the wording is changed, the situation will not change. Emphasizing an unchanging conclusion: indicating that no matter the angle or reasoning, the final result is the same.",CanTong Lexicon 2025,25
L26,點餸 ,dim2 sung3,"點菜；點餐；點嘢；落單；寫嘢；嗌嘢",,点菜/点餐,to order/order,动词：餐厅点菜,v: to order food at a restaurant,用法：在餐馆知道自己要吃什么然后就要叫服务员过来可以喊,"usage: Once you know what you want to eat at the restaurant, you can call the waiter over.",CanTong Lexicon 2025,26
L27,點係啊,dim2 hai6 aa3,點好意思啊；太客氣啦,,太客气了/怎么好意思呢/太客气,too kind,副词、形容词和语气助：太客气了，怎么好意思呢，让你破费了，感觉不好意思,"adv,adj,particle: too kind",用法：通常用來感激对方为你做的一切，时候可以这样回应，有着感叹的语气,"usage: It's usually used to express gratitude for everything someone has done for you,sometimes you can respond like this with an exclamation in your voice.",CanTong Lexicon 2025,27
L28,點心車,dim2 sam1 ce1,推車點心；糕点車,,点心车/小食车,dim sum cart,名词：点心车/小食车，茶楼的文化遗产,"n: Dim Sum Cart/Snack Cart, cultural heritage of teahouses",早期在茶楼中，服务员推着点心车在座位间巡迴，展示各式点心供顾客挑选,"usage: In the early days of teahouses, waiters would push dim sum carts around the tables, displaying a variety of dim sum for customers to choose from.",CanTong Lexicon 2025,28
L29,點錯相,dim2 co3 soeng3,認錯人,,认错人/找错人,mistaken identity/wrong target,动词：找错目标人物,"v: to pick out the wrong person for (usually for something bad, such as for revenge) [colloquial]",用法：用于形容追债的人认错人打错人,usage: This phrase is generally used to describe someone who is chasing a debtor but has mistaken the person for someone else and has attacked the wrong person.,CanTong Lexicon 2025,29
L30,點樣去？,dim2 joeng2 heoi3,點去？；點樣行？；點行？,,怎么去/怎样去/怎么走,how to get there,疑问代词：用于询问到达某个地方的方法或路线,pron: Used to ask how to get to a place or the route.,用法：它的基本用法是问“如何”前往某处，通常是在旅行、问路或安排行程时使用。,"usage: Its basic usage is to ask ""how"" to get to a place, usually when traveling, asking for directions, or planning an itinerary.",CanTong Lexicon 2025,30
L31,點到即止,dim2 dou3 zik1 zi2,點到為止；停喺呢度；就咁先啦；到此為止；適可而止,,点到为止；适可而止,Stop here/know when to stop/leave it at that/let’s leave it there/that’s enough / that’ll do,动词：一是用于武术比赛或競技，指點到即停止，不以伤人为目的。二是比喻说话或做事，只說到关键处就停下，不把事情全部说开。 ,"v: First, it's used in martial arts competitions or contests to indicate when to stop after providing guidance, without intending to harm anyone. Second, it's used metaphorically to describe speaking or acting by stopping at the crucial point, without revealing the whole story.",用法：1，比试競技時的 。2，比喻说话的,"usage: 1, In competitions or contests  2, Metaphorically, in speech.",CanTong Lexicon 2025,31
L32,點睇,dim2 tai2,有咩諗法；有何睇法,,有何看法/有什么看法/有什么想法/怎么样/怎么看,how do you see this/What do you think/What’s your opinion/How do you feel/What are your thoughts/Any thoughts/What do you reckon/How do you see it/How is it/How does it look/How does that soun/Is that okay with you,疑问代词：用于询问向他人咨询意見,pron: Mainly used to solicit opinions from others,"用法：核心功能， 咨询意見，例如讨论方案、评价事物等。","usage: Core function: Seeking advice.  Context: Suitable for everyday conversations, such as discussing plans or evaluating things.",CanTong Lexicon 2025,32
L33,點解,dim2 gaai2,何解；乜解究；因乜解究,,什么原因/原因是什么/为什么,how to explain/how come/why,疑问代词：可以直接放在疑问句中询问原因，表达更強烈或反问的语气,"pron: You can place it directly in a question to inquire about the reason, expressing a stronger or rhetorical tone.",用法：询问原因，直接在疑問句中使用，询问某件事情發生或存在的理由。,usage: Asking for reasons: Used directly in interrogative sentences to ask for the reason why something happened or exists.,CanTong Lexicon 2025,33
L34,點話點好,dim2 waa6 dim2 hou2,隨你意思；你想點都得；點都得；你話咩就咩；你話乜就咩；你話事,,怎么都可以/怎样说都可以/怎么说就怎么办/你说什么就什么/说什么就什么/听你的,up to you/as you wish/whatever you say/it`s your call/you`re the boss,感叹/状语短语：随你意思，表示自己都可以,"Exclamatory/adverbial phrases: ""up to you""; ""as you wish""; ""whatever you say""",用法：表示对某件事沒有特別的想法，听从別人的意见或安排。,usage: It is used to indicate that one has no particular opinion on a matter and listens to the opinions or arrangements of others.,CanTong Lexicon 2025,34
L35,點頭之交,dim2 tau4 zi1 gaau1,泛泛之交；普通朋友,,普通朋友/没什么交集/泛泛之交,common friend / people with little interaction / casual acquaintances,形容词：不是很熟的朋友，交情非常浅薄的人际关系，见面時只会点头打招呼，彼此並不熟悉,"adj: A not very close friend; a very superficial relationship where people only nod and greet each other when they meet, and are not familiar with each other.",用法：形容一段关系不是很深交，甚至没有联系方式的关系,"usage: Describing a relationship that is not very close, or even one where there is no way to contact each other.",CanTong Lexicon 2025,35
L36,點紅點綠,dim2 hung4 dim2 luk6,指點江山,,存心误导人/忽悠,to mislead someone deliberately,动词：（俗语）繁忙路口，交通灯变换颜色，指引着行人与车辆的有序前行而这句在粤语里，可描述人一会儿叫你这样一会儿叫你那样,"v: (proverb) At a busy intersection, traffic lights change colors to guide pedestrians and vehicles in an orderly manner. In Cantonese, this phrase can describe someone calling you this one minute and that the next.",用法：给人感觉存心误导導人，可以特指行为也可以特指事件,usage: The feeling that someone is intentionally misleading can refer to either a specific behavior or a specific event.,CanTong Lexicon 2025,36
L37,想點,soeng2 dim2,諗住點；想點樣；想點閪樣；想點撚樣；點啊,,想怎么样/想怎样,What do you want/How do you want,动词：想怎么样/想怎样；询问他人,v: What do you want/How do you want；Ask others,用法：询问别人的想法，想怎么样，又或者是不耐烦的时候可用,"usage: It can be used to ask for other people's thoughts, what they want, or when you are impatient.",CanTong Lexicon 2025,37
L38,擗埋一二邊,pet6 maai4 jat1 ji6 bin6,擗埋一邊；放埋一邊；放埋一二邊,,放在一边/丢在一边/扔在一边,set it aside/throw it aside/chuck it to one side/put it aside/toss it aside/shelve it aside,动词：暂缓/搁置，比较随手；有方向性，复数表示本来也有,"v: Postponing/shelving is more flexible.；It has directionality, and complex numbers inherently also have this.",用法：人或事推到一边，不让它参与或发生,"usage: Push people or things aside, prevent them from participating or happening.",CanTong Lexicon 2025,38
L39,抌埋一二邊,dam1 maai4 jat1 ji6 bin6,揼埋一邊,,甩在一边,cast it aside/brush it aside,动词：果断抛弃/摒弃，置之不理；有方向性，复数表示本来也有,"v: Decisively discard/abandon, ignore；It has directionality, and complex numbers inherently also have this.",用法：人或事推到一边，不让它参与或发生，特指甩这个动作,"usage: To push a person or thing aside, preventing it from participating or happening, specifically refers to the action of ""shoving"" or ""abandoning"".",CanTong Lexicon 2025,39
L40,擗一二邊,pet6 jat1 ji6 bin6,擗一邊；放一二邊；放一邊,,扔一边/丢一边/放一边,set it /throw it /toss it ,动词：暂缓/搁置，比较随手；命令但还没做,v: Postponing/shelving is more casual; it's an order that hasn't been given yet.,用法：人或事推一边，不让它参与或发生,"usage: Push people or things aside and prevent them from participating or happening.",CanTong Lexicon 2025,40
L41,抌一二邊,dam1 jat1 ji6 bin6,抌一邊；抌低,,甩一边,cast it ,动词：果断抛弃/摒弃，置之不理；命令但还没做,"v: In colloquial speech, it means to take something out and throw it away; its original meaning is the sound of an object falling.",用法：人或事推一边，不让它参与或发生，特指甩这个动作,"usage: To push people or things aside, preventing them from participating or happening, specifically refers to the action of ""dismissing"" or ""abandoning"".",CanTong Lexicon 2025,41
L42,抌垃圾,dam1 laap6 saap3,掉垃圾；抛垃圾,,丢垃圾/倒垃圾/扔垃圾,throw out thegarbage/throw out trash/take out the thegarbage/take out the trash/put out the thegarbage/put out the trash/litter/dump,动词：地道说法，特征要带出去扔掉的意思，本意是物件跌落的声音,"v: A local expression, a characteristic that needs to be taken out and discarded.",用法：扔垃圾固定用的,usage: Regularly used for throwing away garbage,CanTong Lexicon 2025,42
L43,掟煲,deng3 bou1,分手,,分手,separate,动词：（俚语）形容情侣分手，字面意思是“摔锅”。这个词源于情侣吵架时摔碎锅碗等厨具，引申为关系的破裂，象征着关系结束。 ,"v: (slang)used to describe a couple breaking up; literally means ""smashing pots and pans."" This term originates from the custom of couples smashing pots, pans, and other kitchen utensils during an argument, and is used metaphorically to describe a breakdown in the relationship, symbolizing its end.",用法：分手的意思,usage: The meaning of breaking up,CanTong Lexicon 2025,43
L44,抌咗佢,dam1 zo2  keoi5,掉咗佢；倒咗佢；,,倒掉它/扔掉它/丢掉它,throw it away/discard it/Pour it out/throw away/toss out/deep six,动词：倒掉/扔掉/丢掉 单数,v: Pour out/throw away/discard (singular),用法：指定事物需要扔掉的时候可以用,usage: You can use it when you specify something that needs to be discarded.,CanTong Lexicon 2025,44
L45,弹開,daan6 hoi,行開；死開；走開；躝開；躝屍趷路；死埋一邊；躝；过主；趷開,,走开/起开/滚,get out of here/fuck off/get lost/get out of here/beat it,动词：一般对人，在你厌倦或者讨厌那个人向他/她消失,"v: Generally speaking, when you get tired of or dislike someone, you disappear from their life.",用法：在你愤怒十分嫌弃骚扰你的人，可以对他说,"usage: When you are angry and disgusted by the person harassing you, you can say to him/her...",CanTong Lexicon 2025,45
L46,揼咗啲嘢佢,dam1 zo2 di1 je5 keoi5,掉咗啲嘢佢；倒咗啲嘢佢,,把它们都倒掉/把它们都扔掉/把它们都丢掉,Pour them all out / Throw them all away / Discard them all/deep six,动词：倒掉/扔掉/丢掉 复数,v: Pour out/throw away/discard (plural),用法：两个以上事物需要扔掉的时候可以用,"usage: When two or more items need to be thrown away, you can use",CanTong Lexicon 2025,46
L47,躝街,laan1 gaai1,出街；哨街；逛街；出门；去街,,逛街/逛街去/出门,shop/Shopping/ Going shopping/Going out,动词：带有无所事事的感觉,v: With a feeling of having nothing to do,用法：形容出去闲逛，到处走走的意思,usage: Generally describes going out for a stroll or wandering around.,CanTong Lexicon 2025,47
L48,撻落地下,daat3 lok6 dei6 haa5,撻啲嘢落地下,,重重甩在地下/摔在地下,thrown heavily to the ground/slammed to the ground/hurl/fling/slam down,动词：重重甩/摔在地下；表示很痛,v: Thrown or slammed to the ground; indicates great pain.,用法：很用力或者很快的摔下来，地面是最终位置,"usage: To describe a fall that is forceful or rapid, the ground is the final location.",CanTong Lexicon 2025,48
L49,飛啲嘢過嚟,fei1 deoi3 to1 haai2 gwo3 lai4,飛啲嘢埋嚟,,快速扔东西过来,Throw something over very quickly,动词：用很快速度扔一些东西过来,v: Throw something over very quickly,用法：对方把物品移动到说话者附近，而且带有速度,usage: The other party moved the item near the speaker with speed.,CanTong Lexicon 2025,49
L50,揼春 ,dam2 ceon1,抌心；抌心口；揼袋；后悔；趸春（抌膥 ）；呻笨 ；呻笨柒；蝕​底​,,后悔莫及/极度失望/扎心/后悔,throw something over very quickly/too late to regret/Heartbreaking/to regret,形容词：原意是捶到那个卵好痛，又不好说话。暗义吃亏了自己忍不敢出声！,"adj: The original meaning was that it hurt so much to be hit on the testicles, but it was too painful to say anything. The implied meaning was that the person suffered a loss but dared not utter a sound!",用法：后悔莫及这个状态,usage: Describing the state of being filled with deep regret,CanTong Lexicon 2025,50
L51,包剪𢱕,baau1 zin2 dap6,包𢱕；猜呈尋,,剪刀石头布/石头剪刀布,Rock Paper Scissors,名词：「石头、剪刀、布」游戏，规则是透过喊出口令（包剪𢱕）并在最后一个字（「揼」或「𢱕」）同時出示首饰來决定胜负。,"v: The game ""Rock, Paper, Scissors"" is played by calling out a command (such as ""scissors"") and revealing jewelry at the same time as the last word (""scissors"" or ""scissors"").",用法：当需要分出胜负最简单的方法就用这个游戏来分出胜负,"usage: When you need to determine a winner, the simplest way is to use this game.",CanTong Lexicon 2025,51
L52,𢱕骨,dap6 gwat1,𢱕背脊；按摩；馬殺雞,,捶背/按摩,Back massage/massage,名词：是透过按摩身体不同部位，令身体放松的行为,n: The act of relaxing the body by massaging different parts of the body.,用法：特指是背部按摩，也可以是按摩统称,"usage: Specifically refers to back massage, but can also be a general term for massage.",CanTong Lexicon 2025,52
L53,畀人𢱕,bei2 jan4 dap6,畀人毆,,给人打/给人揍/挨揍,Beat up,形容词：被别人或多人同时殴打,adj: Being beaten by one or more people at the same time,用法：是指对方或者自己，自己一般是事后的描述，对方的一般可以是进行中或者事后的描述，因为自己的话没时间解释,"usage: Generally, this refers to either the other party or oneself. One's own account is usually a description afterward, while the other party's account can be either during or after the event, because there's no time to explain one's own account.",CanTong Lexicon 2025,53
L54,𢱕佢镬甘嘅,dap6 keoi5 wok6 gam1 ge3,𢱕佢镬劲嘅,,狠狠地教训他一顿/狠狠地教训她一顿/给她点颜色看看/给他点颜色看看/给点颜色她看看/给点颜色他看看,Give her a good beating/Give him a good beating,形容词：给她/他点颜色看看，揍一顿厉害的,"adj: Show him/her what's what, give him/her a good beating.",用法：对对方十分愤怒，要报复对方，而且要出全力报复,"usage: They were extremely angry with the other party and wanted to take revenge, and they wanted to do everything in their power to do so.",CanTong Lexicon 2025,54
L55,抌功夫,dam1 gung1 fu1,抌功,,所需时间较长,It takes a long time,形容词：这里的可以理解为磨时间/磨精力去做一件事。,adj: This can be understood as wasting time/energy doing something.,用法：要完成，做完这件事需要的时间很久,usage: This describes something that needs a long time to complete.,CanTong Lexicon 2025,55
L56,抌低佢,dap6 dai1 keoi5,掉低佢；放低佢,,抛弃他/抛弃她/放下他/放下她,Abandon him/her,动词：抛弃，放下某人或事或物,"v: To abandon, to let go of someone, something, or a thing",用法：扔掉、捨棄明确目标的可用,usage: Discard or abandon available resources with clear objectives.,CanTong Lexicon 2025,56
L57,沙𦢊,saa1 buk1,吉士；膽生毛；沙膽；夠薑；未死過；死字唔識寫；作死；夠pok（夠𦢊）；沙pok；有種；膽大包天,,大胆/胆子大/不怕死,Bold/daring/fearless,形容词：同为俚语，胆上长毛，形容人胆大包天，含贬义。,"adj: Both are slang terms,""Hair growing on the gallbladder"" is a derogatory expression describing someone who is extremely audacious.",用法：勇敢无畏的人，大胆的，有勇气,"usage: Describing a brave and fearless person, bold and courageous.",CanTong Lexicon 2025,57
L58,點下,dim2 haa5 ,指點下；指教下,,指点一下/提点一下,Give him/her some pointers,动词：形容指点，指教一下某人,v: To point out or instruct someone,用法： 1是点击或者按一下，2是指点提点,"usage: There are two scenarios: 1,clicking or tapping, 2, pointing or prompting.",CanTong Lexicon 2025,58
L59,老點,lou5 dim2,呃；坤；騙；水,,欺骗/糊弄/瞎骗,to trick/to fool,动词：特指带领受害人入局,v: Specifically refers to leading victims into a trap.,用法：特指一种骗人的行为,usage: Specifically refers to a deceptive act.,CanTong Lexicon 2025,59
L60,呃鬼食豆腐,ngaak1 gwai2 sik6 dau6 fu6,车大炮；呃鬼食道符；呃鬼啦你,,当我是傻子/你当我好骗吗/欺骗,to lie to a ghost to eat tofu/do you think I'm easy to fool?/to fool,（俗语）显而易见的，不会有人信的谎言,(proverb) To deceive somebody using a poor excuse or lies that are easily seen through; lterally: to trick a ghost to eat bean curd,用法：特指一种骗人的行为，常在句子最后,"usage: It specifically refers to a deceptive act, and is often placed at the end of a sentence.",CanTong Lexicon 2025,60
L61,侧侧膊,zak1 zak1 bok3,"推卸責任；搏懵；得過且過",,推卸责任/蒙混过关/得过且过/偷懒,shirking responsibility,（俗语）形容蒙混过关，得过且过，推卸责任,(proverb) To shirk responsibilities and muddle through,用法：通常与(唔多觉)连用，(侧侧膊唔多觉)表示某人对待某事得过且过，还假装不当一回事，暗讽其没担当还脸皮厚。,usage: It is often used in conjunction with (唔多觉). (侧侧膊唔多觉) means that someone is indifferent to something and pretends not to care. It is an veiled criticism of someone who is irresponsible and shameless.,CanTong Lexicon 2025,61
L62,壽頭,sau6 tau4,"蠢材；低能仔；大番薯；人頭豬腦；烚熟狗頭；水鱼；傻仔；弱智",,蠢人/低能者/韭菜本尊/韭菜/傻子,blockhead/nitwit/fool/diot/silly person/a moron/moron/a nitwit,形容词：指昧于人情世故，易受愚弄欺骗的人,"adj: A blockhead, a dullard, a nitwit, a moron",用法：描述这个经常被骗的人，的一个称呼,usage: A nickname to describe this frequently scammed person,CanTong Lexicon 2025,62
